perm(V,W,X,Y,Z).
V	W	X	Y	Z	
1	2	3	4	5	1
1	2	3	5	4	2
1	2	4	3	5	3
1	2	4	5	3	4
1	2	5	3	4	5
1	2	5	4	3	6
1	3	2	4	5	7
1	3	2	5	4	8
1	3	4	2	5	9
1	3	4	5	2	10
1	3	5	2	4	11
1	3	5	4	2	12
1	4	2	3	5	13
1	4	2	5	3	14
1	4	3	2	5	15
1	4	3	5	2	16
1	4	5	2	3	17
1	4	5	3	2	18
1	5	2	3	4	19
1	5	2	4	3	20
1	5	3	2	4	21
1	5	3	4	2	22
1	5	4	2	3	23
1	5	4	3	2	24
2	1	3	4	5	25
2	1	3	5	4	26
2	1	4	3	5	27
2	1	4	5	3	28
2	1	5	3	4	29
2	1	5	4	3	30
2	3	1	4	5	31
2	3	1	5	4	32
2	3	4	1	5	33
2	3	4	5	1	34
2	3	5	1	4	35
2	3	5	4	1	36
2	4	1	3	5	37
2	4	1	5	3	38
2	4	3	1	5	39
2	4	3	5	1	40
2	4	5	1	3	41
2	4	5	3	1	42
2	5	1	3	4	43
2	5	1	4	3	44
2	5	3	1	4	45
2	5	3	4	1	46
2	5	4	1	3	47
2	5	4	3	1	48
3	1	2	4	5	49
3	1	2	5	4	50
3	1	4	2	5	51
3	1	4	5	2	52
3	1	5	2	4	53
3	1	5	4	2	54
3	2	1	4	5	55
3	2	1	5	4	56
3	2	4	1	5	57
3	2	4	5	1	58
3	2	5	1	4	59
3	2	5	4	1	60
3	4	1	2	5	61
3	4	1	5	2	62
3	4	2	1	5	63
3	4	2	5	1	64
3	4	5	1	2	65
3	4	5	2	1	66
3	5	1	2	4	67
3	5	1	4	2	68
3	5	2	1	4	69
3	5	2	4	1	70
3	5	4	1	2	71
3	5	4	2	1	72
4	1	2	3	5	73
4	1	2	5	3	74
4	1	3	2	5	75
4	1	3	5	2	76
4	1	5	2	3	77
4	1	5	3	2	78
4	2	1	3	5	79
4	2	1	5	3	80
4	2	3	1	5	81
4	2	3	5	1	82
4	2	5	1	3	83
4	2	5	3	1	84
4	3	1	2	5	85
4	3	1	5	2	86
4	3	2	1	5	87
4	3	2	5	1	88
4	3	5	1	2	89
4	3	5	2	1	90
4	5	1	2	3	91
4	5	1	3	2	92
4	5	2	1	3	93
4	5	2	3	1	94
4	5	3	1	2	95
4	5	3	2	1	96
5	1	2	3	4	97
5	1	2	4	3	98
5	1	3	2	4	99
5	1	3	4	2	100
5	1	4	2	3	101
5	1	4	3	2	102
5	2	1	3	4	103
5	2	1	4	3	104
5	2	3	1	4	105
5	2	3	4	1	106
5	2	4	1	3	107
5	2	4	3	1	108
5	3	1	2	4	109
5	3	1	4	2	110
5	3	2	1	4	111
5	3	2	4	1	112
5	3	4	1	2	113
5	3	4	2	1	114
5	4	1	2	3	115
5	4	1	3	2	116
5	4	2	1	3	117
5	4	2	3	1	118
5	4	3	1	2	119
5	4	3	2	1	120
